Cycle,Crack Size,da/dN,a/W,Date,Time,Pmax,Pmin,Delta P,R ratio,Kmax,Kmin,Delta K,Compliance,COD max,COD min,SP-Pmax,SP-Pmin,Step,Frequency,Baseline Pmin,Baseline Delta K, Remarks,1% Sop/Smax,2% Sop/Smax,4% Sop/Smax,1% Delta Keff,2% Delta Keff,4% Delta Keff
291200,12.465,1.19E-05,0.491,27-Dec-19,15:47:58,1.752,0.003,1.749,0.001,16.647,0.025,16.593,0.042585,0.058,-0.014,1.75,0,0,50,0,16.647,,0.207,0.233,0.283,13.196,12.775,11.932
291304,12.471,1.09E-05,0.491,27-Dec-19,15:48:00,1.745,0.005,1.741,0.003,16.592,0.046,16.512,0.042176,0.058,-0.014,1.75,0,0,50,0,16.592,,0.216,0.236,0.278,13.016,12.672,11.985
291408,12.474,1.05E-05,0.491,27-Dec-19,15:48:02,1.747,0.002,1.745,0.001,16.618,0.02,16.552,0.04256,0.058,-0.014,1.75,0,0,50,0,16.618,,0.223,0.24,0.273,12.915,12.636,12.077
291408,12.474,1.07E-05,0.491,27-Dec-19,15:48:02,1.747,0.002,1.745,0.001,16.618,0.02,16.552,0.04256,0.058,-0.014,1.75,0,0,50,0,16.618,,0.223,0.24,0.273,12.915,12.636,12.077
291512,12.476,1.03E-05,0.491,27-Dec-19,15:48:04,1.749,0.003,1.746,0.001,16.626,0.024,16.565,0.042477,0.058,-0.014,1.75,0,0,50,0,16.626,,0.218,0.239,0.281,12.999,12.653,11.961
291616,12.482,9.8E-06,0.491,27-Dec-19,15:48:06,1.748,0.003,1.745,0.002,16.645,0.029,16.553,0.042895,0.058,-0.014,1.75,0,0,50,0,16.645,,0.208,0.234,0.287,13.184,12.745,11.869
291642,12.488,9.5E-06,0.492,27-Dec-19,15:48:07,1.744,0.002,1.743,0.001,16.62,0.014,16.531,0.0431,0.058,-0.014,1.75,0,0,50,0,16.62,,0.227,0.25,0.296,12.842,12.464,11.707
291720,12.492,9.2E-06,0.492,27-Dec-19,15:48:08,1.753,0.003,1.75,0.002,16.713,0.026,16.606,0.042527,0.058,-0.014,1.75,0,0,50,0,16.713,,0.246,0.26,0.287,12.593,12.365,11.909
291772,12.5,8.5E-06,0.492,27-Dec-19,15:48:09,1.74,0.001,1.739,0.001,16.604,0.013,16.497,0.042874,0.058,-0.014,1.75,0,0,50,0,16.604,,0.242,0.263,0.305,12.579,12.234,11.544
291824,12.503,8.5E-06,0.492,27-Dec-19,15:48:10,1.749,0.001,1.748,0.001,16.701,0.012,16.588,0.042516,0.058,-0.014,1.75,0,0,50,0,16.701,,0.224,0.242,0.278,12.96,12.658,12.052
291928,12.507,8.8E-06,0.492,27-Dec-19,15:48:13,1.748,0,1.748,0,16.673,0.001,16.589,0.042572,0.058,-0.014,1.75,0,0,50,0,16.673,,0.223,0.246,0.293,12.961,12.571,11.791
292032,12.507,9E-06,0.492,27-Dec-19,15:48:15,1.747,0.001,1.746,0,16.672,0.006,16.571,0.042619,0.058,-0.015,1.75,0,0,50,0,16.672,,0.243,0.262,0.3,12.621,12.307,11.678
292136,12.511,9.3E-06,0.493,27-Dec-19,15:48:17,1.751,0.001,1.75,0,16.73,0.006,16.608,0.042942,0.058,-0.014,1.75,0,0,50,0,16.73,,0.265,0.284,0,12.303,11.977,16.73
292136,12.511,9.6E-06,0.493,27-Dec-19,15:48:17,1.751,0.001,1.75,0,16.73,0.006,16.608,0.042942,0.058,-0.014,1.75,0,0,50,0,16.73,,0.265,0.284,0,12.303,11.977,16.73
292188,12.523,9.1E-06,0.493,27-Dec-19,15:48:18,1.752,-0.004,1.756,-0.003,16.765,-0.042,16.624,0.043143,0.058,-0.015,1.75,0,0,50,0,16.765,,0.237,0.253,0.286,12.795,12.52,11.971
292240,12.531,1.02E-05,0.493,27-Dec-19,15:48:19,1.749,-0.003,1.752,-0.002,16.751,-0.029,16.595,0.042952,0.058,-0.015,1.75,0,0,50,0,16.751,,0.201,0.236,0.305,13.381,12.804,11.65
292292,12.54,1.11E-05,0.494,27-Dec-19,15:48:20,1.745,0.006,1.739,0.003,16.733,0.058,16.502,0.043141,0.058,-0.015,1.75,0,0,50,0,16.733,,0.255,0,0,12.468,16.733,16.733
292344,12.541,1.25E-05,0.494,27-Dec-19,15:48:21,1.747,0.001,1.746,0.001,16.75,0.01,16.566,0.042729,0.058,-0.014,1.75,0,0,50,0,16.75,,0.112,0.277,0.308,14.871,12.106,11.585
292448,12.546,1.38E-05,0.494,27-Dec-19,15:48:23,1.744,0.001,1.744,0,16.736,0.006,16.546,0.043107,0.058,-0.015,1.75,0,0,50,0,16.736,,0.24,0.269,0,12.725,12.235,16.736
292552,12.546,1.41E-05,0.494,27-Dec-19,15:48:25,1.75,0,1.75,0,16.776,0.001,16.605,0.042984,0.058,-0.014,1.75,0,0,50,0,16.776,,0.23,0.245,0.276,12.92,12.66,12.139
292656,12.546,1.55E-05,0.494,27-Dec-19,15:48:27,1.744,0.001,1.742,0.001,16.73,0.013,16.532,0.042932,0.058,-0.014,1.75,0,0,50,0,16.73,,0.126,0.254,0,14.623,12.475,16.73
292760,12.546,1.56E-05,0.494,27-Dec-19,15:48:30,1.747,0.001,1.747,0,16.753,0.007,16.575,0.042704,0.058,-0.015,1.75,0,0,50,0,16.753,,0.228,0.245,0.278,12.932,12.651,12.089
292864,12.546,1.68E-05,0.494,27-Dec-19,15:48:32,1.745,0,1.745,0,16.742,-0.001,16.559,0.042979,0.058,-0.014,1.75,0,0,50,0,16.742,,0.222,0.237,0.268,13.031,12.772,12.253
292968,12.549,1.68E-05,0.494,27-Dec-19,15:48:34,1.745,-0.001,1.747,-0.001,16.752,-0.013,16.561,0.043088,0.059,-0.015,1.75,0,0,50,0,16.752,,0.258,0.278,0,12.436,12.1,16.752
292994,12.552,2.89E-05,0.494,27-Dec-19,15:48:34,1.75,0.004,1.746,0.002,16.804,0.038,16.567,0.043392,0.059,-0.015,1.75,0,0,50,0,16.804,,0.217,0.236,0.274,13.151,12.835,12.201
293072,12.556,5.24E-05,0.494,27-Dec-19,15:48:36,1.752,0.002,1.75,0.001,16.831,0.023,16.714,0.043175,0.058,-0.014,1.75,0,0,50,0,16.831,,0.235,0.253,0.287,12.872,12.58,11.997
293176,12.557,5.2E-05,0.494,27-Dec-19,15:48:38,1.745,-0.006,1.751,-0.003,16.762,-0.056,16.672,0.042739,0.059,-0.015,1.75,0,0,50,0,16.762,,0.233,0.246,0.272,12.861,12.639,12.195
293280,12.557,4.94E-05,0.494,27-Dec-19,15:48:40,1.753,0.003,1.75,0.002,16.816,0.031,16.721,0.042769,0.059,-0.014,1.75,0,0,50,0,16.816,,0.246,0.262,0.293,12.679,12.414,11.883
293384,12.557,4.89E-05,0.493,27-Dec-19,15:48:42,1.75,0.001,1.749,0.001,16.752,0.011,16.712,0.04282,0.059,-0.014,1.75,0,0,50,0,16.752,,0.225,0.24,0.271,12.981,12.727,12.22
293488,12.557,4.85E-05,0.493,27-Dec-19,15:48:44,1.748,0.003,1.745,0.002,16.736,0.027,16.673,0.042734,0.059,-0.014,1.75,0,0,50,0,16.736,,0.223,0.24,0.274,13.011,12.727,12.158
293592,12.557,4.83E-05,0.494,27-Dec-19,15:48:46,1.75,0.003,1.747,0.002,16.78,0.028,16.694,0.042947,0.059,-0.014,1.75,0,0,50,0,16.78,,0.221,0.248,0.3,13.066,12.624,11.74
293696,12.557,4.67E-05,0.494,27-Dec-19,15:48:49,1.746,-0.001,1.747,-0.001,16.765,-0.009,16.711,0.043167,0.059,-0.014,1.75,0,0,50,0,16.765,,0.209,0.239,0.298,13.26,12.763,11.768
293800,12.557,4.66E-05,0.494,27-Dec-19,15:48:51,1.745,0.001,1.743,0.001,16.758,0.014,16.684,0.043052,0.059,-0.014,1.75,0,0,50,0,16.758,,0.211,0.236,0.287,13.226,12.799,11.947
293904,12.557,4.5E-05,0.494,27-Dec-19,15:48:53,1.749,0.001,1.747,0.001,16.789,0.012,16.738,0.042974,0.059,-0.014,1.75,0,0,50,0,16.789,,0.212,0.228,0.26,13.224,12.959,12.428
294008,12.557,4.5E-05,0.494,27-Dec-19,15:48:55,1.751,-0.001,1.751,0,16.801,-0.006,16.769,0.043312,0.059,-0.014,1.75,0,0,50,0,16.801,,0.258,0.279,0,12.471,12.114,16.801
294112,12.557,4.34E-05,0.494,27-Dec-19,15:48:57,1.749,0.002,1.748,0.001,16.802,0.016,16.757,0.042993,0.059,-0.015,1.75,0,0,50,0,16.802,,0.249,0.27,0,12.615,12.266,16.802
294138,12.563,4.34E-05,0.495,27-Dec-19,15:48:58,1.75,0.006,1.744,0.003,16.826,0.056,16.726,0.043479,0.059,-0.014,1.75,0,0,50,0,16.826,,0.236,0.252,0.284,12.862,12.59,12.046
294216,12.574,3.61E-05,0.495,27-Dec-19,15:48:59,1.75,0.001,1.749,0.001,16.847,0.011,16.779,0.043183,0.059,-0.014,1.75,0,0,50,0,16.847,,0.233,0.248,0.278,12.915,12.667,12.17
294216,12.574,3.64E-05,0.495,27-Dec-19,15:48:59,1.75,0.001,1.749,0.001,16.847,0.011,16.779,0.043183,0.059,-0.014,1.75,0,0,50,0,16.847,,0.233,0.248,0.278,12.915,12.667,12.17
294320,12.574,3.36E-05,0.495,27-Dec-19,15:49:01,1.749,0.001,1.748,0.001,16.818,0.011,16.773,0.043066,0.059,-0.014,1.75,0,0,50,0,16.818,,0.228,0.243,0.275,12.987,12.724,12.196
294424,12.574,3.39E-05,0.494,27-Dec-19,15:49:03,1.748,-0.003,1.751,-0.002,16.793,-0.027,16.775,0.043146,0.059,-0.014,1.75,0,0,50,0,16.793,,0.246,0.263,0.297,12.667,12.38,11.808
294528,12.574,3.15E-05,0.494,27-Dec-19,15:49:05,1.745,-0.003,1.748,-0.002,16.762,-0.031,16.743,0.04331,0.059,-0.014,1.75,0,0,50,0,16.762,,0.242,0.257,0.286,12.698,12.453,11.963
294632,12.574,3.17E-05,0.495,27-Dec-19,15:49:08,1.751,0.002,1.749,0.001,16.836,0.021,16.785,0.043165,0.059,-0.014,1.75,0,0,50,0,16.836,,0.16,0.185,0.274,14.144,13.724,12.219
294736,12.574,2.95E-05,0.495,27-Dec-19,15:49:10,1.753,0.001,1.752,0.001,16.868,0.009,16.814,0.043048,0.059,-0.014,1.75,0,0,50,0,16.868,,0.238,0.257,0.295,12.858,12.537,11.895
294840,12.581,2.91E-05,0.495,27-Dec-19,15:49:12,1.746,0.003,1.744,0.001,16.829,0.025,16.746,0.043181,0.059,-0.014,1.75,0,0,50,0,16.829,,0.205,0.231,0.285,13.382,12.934,12.038
294944,12.581,2.94E-05,0.495,27-Dec-19,15:49:14,1.754,0.005,1.749,0.003,16.902,0.052,16.797,0.043351,0.059,-0.014,1.75,0,0,50,0,16.902,,0.231,0.25,0.288,12.999,12.677,12.034
294996,12.586,2.77E-05,0.496,27-Dec-19,15:49:15,1.75,0.001,1.749,0,16.871,0.007,16.802,0.043423,0.059,-0.014,1.75,0,0,50,0,16.871,,0.253,0.274,0,12.599,12.254,16.871
295048,12.586,2.63E-05,0.495,27-Dec-19,15:49:16,1.752,0.001,1.752,0,16.892,0.008,16.83,0.043104,0.06,-0.014,1.75,0,0,50,0,16.892,,0.224,0.24,0.273,13.11,12.834,12.284
295152,12.589,2.46E-05,0.496,27-Dec-19,15:49:18,1.747,0.007,1.74,0.004,16.848,0.071,16.716,0.043103,0.059,-0.014,1.75,0,0,50,0,16.848,,0.254,0.278,0,12.576,12.167,16.848
295256,12.591,2.48E-05,0.495,27-Dec-19,15:49:20,1.748,0.002,1.746,0.001,16.851,0.019,16.777,0.043633,0.059,-0.014,1.75,0,0,50,0,16.851,,0.247,0.257,0.279,12.696,12.513,12.148
295360,12.596,2.35E-05,0.496,27-Dec-19,15:49:22,1.754,0.003,1.751,0.002,16.923,0.029,16.821,0.043203,0.059,-0.014,1.75,0,0,50,0,16.923,,0.247,0.278,0,12.75,12.217,16.923
295412,12.597,2.29E-05,0.496,27-Dec-19,15:49:23,1.744,0.004,1.74,0.003,16.84,0.042,16.719,0.043344,0.059,-0.014,1.75,0,0,50,0,16.84,,0.237,0.256,0.293,12.849,12.536,11.911
295464,12.597,2.31E-05,0.496,27-Dec-19,15:49:24,1.752,0.005,1.748,0.003,16.908,0.045,16.792,0.043054,0.059,-0.014,1.75,0,0,50,0,16.908,,0.212,0.242,0.304,13.326,12.809,11.775
295568,12.597,2.25E-05,0.495,27-Dec-19,15:49:27,1.748,-0.002,1.75,-0.001,16.851,-0.017,16.799,0.043278,0.059,-0.014,1.75,0,0,50,0,16.851,,0.248,0.264,0.296,12.676,12.408,11.87
295672,12.597,2.27E-05,0.495,27-Dec-19,15:49:29,1.748,0.004,1.744,0.002,16.825,0.037,16.759,0.043194,0.059,-0.014,1.75,0,0,50,0,16.825,,0.209,0.228,0.265,13.306,12.994,12.371
295776,12.597,2.21E-05,0.495,27-Dec-19,15:49:31,1.75,0.003,1.747,0.002,16.825,0.029,16.782,0.042955,0.059,-0.014,1.75,0,0,50,0,16.825,,0.243,0.267,0.326,12.734,12.331,11.339
295880,12.597,2.21E-05,0.495,27-Dec-19,15:49:33,1.746,0,1.746,0,16.788,-0.004,16.772,0.043412,0.059,-0.014,1.75,0,0,50,0,16.788,,0.226,0.248,0.292,12.988,12.621,11.888
295984,12.597,2.14E-05,0.495,27-Dec-19,15:49:35,1.75,0.004,1.747,0.002,16.849,0.035,16.783,0.043269,0.06,-0.014,1.75,0,0,50,0,16.849,,0.169,0.24,0,13.996,12.813,16.849
296088,12.597,2.14E-05,0.496,27-Dec-19,15:49:37,1.749,-0.002,1.75,-0.001,16.866,-0.016,16.8,0.043542,0.06,-0.014,1.75,0,0,50,0,16.866,,0.238,0.253,0.281,12.844,12.604,12.124
296192,12.604,1.98E-05,0.496,27-Dec-19,15:49:39,1.75,0.002,1.748,0.001,16.904,0.018,16.793,0.043668,0.06,-0.014,1.75,0,0,50,0,16.904,,0.149,0.254,0,14.378,12.618,16.904
296244,12.611,1.91E-05,0.496,27-Dec-19,15:49:40,1.754,0.003,1.75,0.002,16.959,0.032,16.819,0.043567,0.06,-0.014,1.75,0,0,50,0,16.959,,0.215,0.237,0.283,13.313,12.931,12.166
296296,12.611,1.92E-05,0.496,27-Dec-19,15:49:41,1.746,0.001,1.746,0,16.878,0.006,16.786,0.043171,0.06,-0.014,1.75,0,0,50,0,16.878,,0.22,0.24,0.281,13.17,12.826,12.139
296400,12.611,1.92E-05,0.496,27-Dec-19,15:49:44,1.75,-0.002,1.752,-0.001,16.898,-0.02,16.824,0.043353,0.06,-0.014,1.75,0,0,50,0,16.898,,0.239,0.255,0.287,12.862,12.591,12.048
296504,12.611,1.91E-05,0.495,27-Dec-19,15:49:46,1.745,0.005,1.741,0.003,16.818,0.046,16.76,0.043279,0.059,-0.014,1.75,0,0,50,0,16.818,,0.195,0.258,0,13.533,12.478,16.818
296608,12.611,1.91E-05,0.496,27-Dec-19,15:49:48,1.75,0.002,1.749,0.001,16.885,0.017,16.836,0.04342,0.06,-0.014,1.75,0,0,50,0,16.885,,0.227,0.259,0,13.06,12.518,16.885
296712,12.611,1.91E-05,0.496,27-Dec-19,15:49:50,1.747,0.003,1.744,0.001,16.893,0.024,16.796,0.043646,0.06,-0.014,1.75,0,0,50,0,16.893,,0.227,0.255,0,13.056,12.58,16.893
296816,12.611,1.9E-05,0.496,27-Dec-19,15:49:52,1.753,0.003,1.75,0.002,16.94,0.031,16.851,0.043589,0.06,-0.014,1.75,0,0,50,0,16.94,,0.245,0.267,0,12.791,12.41,16.94
296920,12.612,1.78E-05,0.497,27-Dec-19,15:49:54,1.752,0,1.752,0,16.943,0.002,16.864,0.043676,0.06,-0.014,1.75,0,0,50,0,16.943,,0.239,0.258,0.296,12.886,12.569,11.934
297024,12.618,1.78E-05,0.497,27-Dec-19,15:49:56,1.74,0.002,1.738,0.001,16.844,0.017,16.738,0.043577,0.06,-0.014,1.75,0,0,50,0,16.844,,0.189,0.225,0.282,13.665,13.059,12.094
297050,12.624,1.73E-05,0.497,27-Dec-19,15:49:57,1.752,0.002,1.75,0.001,16.966,0.016,16.848,0.043754,0.06,-0.014,1.75,0,0,50,0,16.966,,0.112,0.257,0.299,15.065,12.614,11.895
297128,12.627,1.75E-05,0.497,27-Dec-19,15:49:58,1.754,0.001,1.754,0,16.989,0.006,16.887,0.043458,0.06,-0.014,1.75,0,0,50,0,16.989,,0.222,0.237,0.268,13.214,12.954,12.434
297232,12.63,1.76E-05,0.497,27-Dec-19,15:50:00,1.754,0.004,1.75,0.002,16.998,0.039,16.845,0.043836,0.06,-0.014,1.75,0,0,50,0,16.998,,0.221,0.24,0.278,13.239,12.914,12.265
297284,12.635,1.76E-05,0.497,27-Dec-19,15:50:01,1.749,-0.001,1.75,-0.001,16.961,-0.014,16.838,0.043657,0.06,-0.014,1.75,0,0,50,0,16.961,,0.225,0.239,0.268,13.139,12.899,12.42
297336,12.638,1.79E-05,0.498,27-Dec-19,15:50:03,1.748,0.001,1.747,0,16.958,0.007,16.837,0.043906,0.06,-0.014,1.75,0,0,50,0,16.958,,0.246,0.266,0.308,12.791,12.439,11.735
297414,12.647,1.87E-05,0.498,27-Dec-19,15:50:04,1.746,-0.001,1.747,-0.001,16.96,-0.011,16.843,0.043842,0.06,-0.014,1.75,0,0,50,0,16.96,,0.235,0.249,0.275,12.969,12.743,12.29
297440,12.649,1.92E-05,0.498,27-Dec-19,15:50:05,1.756,0.001,1.755,0.001,17.058,0.011,16.928,0.044159,0.06,-0.014,1.75,0,0,50,0,17.058,,0.25,0.267,0.299,12.787,12.508,11.951
297544,12.656,1.99E-05,0.498,27-Dec-19,15:50:07,1.749,0.005,1.744,0.003,17.01,0.051,16.836,0.043787,0.06,-0.014,1.75,0,0,50,0,17.01,,0.202,0.225,0.271,13.568,13.181,12.408
297648,12.658,2.18E-05,0.498,27-Dec-19,15:50:09,1.754,-0.002,1.756,-0.001,17.057,-0.018,16.932,0.043785,0.06,-0.014,1.75,0,0,50,0,17.057,,0.209,0.226,0.259,13.486,13.203,12.636
297648,12.658,2.22E-05,0.498,27-Dec-19,15:50:09,1.754,-0.002,1.756,-0.001,17.057,-0.018,16.932,0.043785,0.06,-0.014,1.75,0,0,50,0,17.057,,0.209,0.226,0.259,13.486,13.203,12.636
297752,12.658,2.31E-05,0.498,27-Dec-19,15:50:11,1.747,0.001,1.746,0,16.955,0.008,16.855,0.043896,0.06,-0.014,1.75,0,0,50,0,16.955,,0.223,0.244,0.287,13.182,12.817,12.088
297856,12.658,2.31E-05,0.498,27-Dec-19,15:50:13,1.75,-0.002,1.752,-0.001,16.99,-0.022,16.893,0.043808,0.06,-0.014,1.75,0,0,50,0,16.99,,0.175,0.14,0.293,14.022,14.61,12.009
297960,12.658,2.38E-05,0.498,27-Dec-19,15:50:15,1.752,0.002,1.75,0.001,17.01,0.021,16.892,0.043164,0.06,-0.014,1.75,0,0,50,0,17.01,,0.181,0.209,0.262,13.937,13.46,12.549
298064,12.658,2.36E-05,0.498,27-Dec-19,15:50:17,1.749,0.004,1.745,0.002,16.973,0.039,16.843,0.043579,0.061,-0.014,1.75,0,0,50,0,16.973,,0.222,0.251,0.309,13.21,12.718,11.734
298168,12.658,2.4E-05,0.498,27-Dec-19,15:50:19,1.75,-0.001,1.75,0,16.976,-0.006,16.905,0.043767,0.06,-0.014,1.75,0,0,50,0,16.976,,0.17,0.248,0,14.091,12.77,16.976
298272,12.658,2.36E-05,0.498,27-Dec-19,15:50:22,1.747,0.001,1.746,0.001,16.971,0.01,16.874,0.043602,0.06,-0.014,1.75,0,0,50,0,16.971,,0.172,0.217,0.27,14.054,13.293,12.381
298376,12.659,2.35E-05,0.498,27-Dec-19,15:50:24,1.748,0.004,1.744,0.002,17,0.039,16.863,0.043962,0.061,-0.014,1.75,0,0,50,0,17,,0.11,0,0,15.132,17,17
298480,12.659,2.31E-05,0.498,27-Dec-19,15:50:26,1.752,-0.002,1.754,-0.001,17.02,-0.016,16.947,0.043563,0.06,-0.014,1.75,0,0,50,0,17.02,,0.237,0.25,0.276,12.985,12.762,12.316
298584,12.659,2.29E-05,0.498,27-Dec-19,15:50:28,1.743,0.003,1.74,0.002,16.927,0.029,16.828,0.044287,0.06,-0.014,1.75,0,0,50,0,16.927,,0.244,0.272,0.394,12.804,12.322,10.251
298688,12.659,2.26E-05,0.498,27-Dec-19,15:50:30,1.748,0.001,1.747,0.001,16.991,0.011,16.893,0.043832,0.06,-0.014,1.75,0,0,50,0,16.991,,0.265,0.296,0,12.484,11.959,16.991
298766,12.668,2.25E-05,0.499,27-Dec-19,15:50:32,1.744,-0.003,1.748,-0.002,16.987,-0.031,16.869,0.043737,0.061,-0.014,1.75,0,0,50,0,16.987,,0.119,0.243,0.284,14.966,12.856,12.169
298792,12.668,2.26E-05,0.499,27-Dec-19,15:50:32,1.747,0.002,1.745,0.001,17.007,0.021,16.875,0.04355,0.06,-0.014,1.75,0,0,50,0,17.007,,0.228,0.249,0.291,13.126,12.77,12.058
298896,12.668,2.25E-05,0.498,27-Dec-19,15:50:34,1.75,0.004,1.746,0.002,17.023,0.042,16.885,0.043581,0.061,-0.014,1.75,0,0,50,0,17.023,,0.169,0.198,0.298,14.146,13.658,11.949
299000,12.668,2.24E-05,0.499,27-Dec-19,15:50:36,1.754,0.001,1.754,0,17.07,0.005,16.957,0.04401,0.06,-0.014,1.75,0,0,50,0,17.07,,0.223,0.24,0.274,13.264,12.972,12.388
299104,12.668,2.22E-05,0.498,27-Dec-19,15:50:38,1.75,0.003,1.747,0.002,17.024,0.03,16.895,0.043831,0.06,-0.014,1.75,0,0,50,0,17.024,,0.095,0.156,0.265,15.406,14.364,12.514
299208,12.668,2.21E-05,0.498,27-Dec-19,15:50:41,1.751,0.002,1.749,0.001,17.003,0.015,16.914,0.043737,0.061,-0.014,1.75,0,0,50,0,17.003,,0.218,0.236,0.27,13.29,12.995,12.404
299312,12.668,2.18E-05,0.498,27-Dec-19,15:50:43,1.751,0.003,1.748,0.002,17.037,0.028,16.906,0.044204,0.06,-0.014,1.75,0,0,50,0,17.037,,0.19,0.222,0.284,13.806,13.252,12.204
299416,12.668,2.16E-05,0.499,27-Dec-19,15:50:45,1.749,0.002,1.747,0.001,17.026,0.016,16.894,0.043958,0.061,-0.014,1.75,0,0,50,0,17.026,,0.229,0.254,0.304,13.125,12.699,11.848
299520,12.669,2.13E-05,0.499,27-Dec-19,15:50:47,1.751,0.004,1.748,0.002,17.052,0.035,16.901,0.044019,0.061,-0.014,1.75,0,0,50,0,17.052,,0.191,0.225,0,13.795,13.216,17.052
299624,12.67,2.1E-05,0.499,27-Dec-19,15:50:49,1.754,-0.001,1.755,0,17.082,-0.006,16.964,0.043901,0.061,-0.014,1.75,0,0,50,0,17.082,,0.157,0.185,0.28,14.402,13.92,12.291
299728,12.683,2.13E-05,0.499,27-Dec-19,15:50:51,1.754,0.004,1.75,0.002,17.108,0.04,16.969,0.044256,0.061,-0.014,1.75,0,0,50,0,17.108,,0.193,0.231,0.307,13.805,13.161,11.851
299728,12.683,2.14E-05,0.499,27-Dec-19,15:50:51,1.754,0.004,1.75,0.002,17.108,0.04,16.969,0.044256,0.061,-0.014,1.75,0,0,50,0,17.108,,0.193,0.231,0.307,13.805,13.161,11.851
299832,12.685,2.13E-05,0.499,27-Dec-19,15:50:53,1.753,-0.001,1.754,-0.001,17.097,-0.012,17.002,0.043999,0.061,-0.014,1.75,0,0,50,0,17.097,,0.193,0.221,0.271,13.801,13.32,12.467
299936,12.69,2.16E-05,0.5,27-Dec-19,15:50:55,1.748,0.006,1.742,0.003,17.06,0.056,16.926,0.044011,0.061,-0.014,1.75,0,0,50,0,17.06,,0.377,0.251,0,10.62,12.77,17.06
300040,12.69,2.17E-05,0.499,27-Dec-19,15:50:58,1.749,-0.001,1.75,-0.001,17.065,-0.011,16.988,0.044189,0.061,-0.014,1.75,0,0,50,0,17.065,,0.247,0.274,0,12.855,12.392,17.065
300118,12.698,2.23E-05,0.5,27-Dec-19,15:50:59,1.75,0.004,1.747,0.002,17.107,0.035,16.988,0.044411,0.061,-0.014,1.75,0,0,50,0,17.107,,0.405,0.226,0.303,10.17,13.238,11.917
300144,12.698,2.26E-05,0.5,27-Dec-19,15:51:00,1.749,0.002,1.747,0.001,17.093,0.023,16.987,0.044087,0.061,-0.014,1.75,0,0,50,0,17.093,,0.213,0.234,0.276,13.452,13.093,12.373
300248,12.698,2.22E-05,0.5,27-Dec-19,15:51:02,1.746,0,1.745,0,17.045,0.004,16.973,0.043934,0.061,-0.014,1.75,0,0,50,0,17.045,,0.301,0.509,0,11.923,8.365,17.045
300352,12.698,2.23E-05,0.499,27-Dec-19,15:51:04,1.75,0.005,1.745,0.003,17.067,0.049,16.968,0.043709,0.061,-0.014,1.75,0,0,50,0,17.067,,0.236,0.254,0.289,13.031,12.731,12.13
300456,12.698,2.19E-05,0.499,27-Dec-19,15:51:06,1.747,0.003,1.745,0.002,17.028,0.026,16.968,0.043938,0.061,-0.014,1.75,0,0,50,0,17.028,,0.145,0.248,0.289,14.558,12.798,12.105
300560,12.698,2.19E-05,0.499,27-Dec-19,15:51:08,1.749,0.002,1.747,0.001,17.04,0.021,16.986,0.044209,0.061,-0.014,1.75,0,0,50,0,17.04,,0.151,0.2,0,14.461,13.637,17.04
300664,12.698,2.15E-05,0.499,27-Dec-19,15:51:10,1.748,0.003,1.746,0.002,17.038,0.027,16.976,0.043953,0.061,-0.014,1.75,0,0,50,0,17.038,,0.233,0.248,0.279,13.075,12.809,12.278
300768,12.698,2.15E-05,0.5,27-Dec-19,15:51:12,1.746,0,1.746,0,17.05,0.002,16.983,0.044373,0.061,-0.014,1.75,0,0,50,0,17.05,,0.375,0.194,0.259,10.651,13.75,12.631
300872,12.698,2.11E-05,0.499,27-Dec-19,15:51:14,1.753,0.003,1.75,0.002,17.097,0.03,17.018,0.043998,0.061,-0.014,1.75,0,0,50,0,17.097,,0.223,0.258,0,13.283,12.685,17.097
300976,12.698,2.1E-05,0.5,27-Dec-19,15:51:17,1.747,-0.004,1.751,-0.002,17.06,-0.041,16.989,0.044094,0.061,-0.014,1.75,0,0,50,0,17.06,,0.223,0.235,0.259,13.248,13.047,12.646
301080,12.698,2.05E-05,0.5,27-Dec-19,15:51:19,1.751,0.004,1.748,0.002,17.099,0.038,16.997,0.044147,0.061,-0.014,1.75,0,0,50,0,17.099,,0.22,0.245,0.294,13.338,12.916,12.07
301184,12.698,2.05E-05,0.499,27-Dec-19,15:51:21,1.748,0.002,1.746,0.001,17.058,0.02,16.981,0.044154,0.061,-0.014,1.75,0,0,50,0,17.058,,0.215,0.235,0.274,13.385,13.053,12.387
301288,12.698,1.99E-05,0.499,27-Dec-19,15:51:23,1.749,0,1.75,0,17.071,-0.004,17.015,0.043989,0.061,-0.014,1.75,0,0,50,0,17.071,,0.163,0.2,0.27,14.296,13.651,12.458
301392,12.698,1.99E-05,0.499,27-Dec-19,15:51:25,1.75,0.003,1.748,0.002,17.049,0.028,16.998,0.04379,0.061,-0.013,1.75,0,0,50,0,17.049,,0.215,0.251,0,13.389,12.777,17.049
301496,12.698,1.93E-05,0.499,27-Dec-19,15:51:27,1.748,0.002,1.746,0.001,17.014,0.016,16.982,0.043888,0.061,-0.013,1.75,0,0,50,0,17.014,,0.389,0.218,0.301,10.399,13.31,11.889
301600,12.698,1.93E-05,0.499,27-Dec-19,15:51:29,1.747,0,1.748,0,17.017,-0.003,16.997,0.044263,0.061,-0.014,1.75,0,0,50,0,17.017,,0.229,0.261,0,13.114,12.57,17.017
